CI_NAME,CI_ID,STATUS,STATUSREASON,SYSTEMROLE,SERVER_FUNCTION,OWNED_BY,APP_SUPPORT,OS_SUPPORT,SA_DVC_ID,SA_SERVERNAME,SA_LOCALHOSTNAME,SA_PRIMARY_IP,SA_MANAGEMENT_IP,SA_OS_VERSION,SA_AGENT_VERSION,SA_AGENT_INTIAL_REG,SA_UNREACHABLEDAYS,STATE,SA_CUSTOMER,SA_FACILITY,PRIMARYCORE,SA_MESH,CERTOWNER,CERTVALIDDATE
TEST-SERVER-0,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Groot,Database Apps,Linux,1000001,TEST-SERVER-0.els.com,TEST-SERVER-0,225.132.14.76,249.112.39.207,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-1,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Anakin Skywalker,Database Apps,Linux,1000001,TEST-SERVER-1.els.com,TEST-SERVER-1,89.97.53.19,168.147.56.76,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-2,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Thor,Database Apps,Linux,1000001,TEST-SERVER-2.els.com,TEST-SERVER-2,77.206.136.19,244.113.209.187,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-3,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nick Fury,Database Apps,Linux,1000001,TEST-SERVER-3.els.com,TEST-SERVER-3,140.225.123.7,36.182.33.159,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-4,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Thor,Database Apps,Linux,1000001,TEST-SERVER-4.els.com,TEST-SERVER-4,21.190.150.12,178.180.242.136,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,B-72,SECURITY,01/01/2020
TEST-SERVER-5,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Rick,Database Apps,Linux,1000001,TEST-SERVER-5.els.com,TEST-SERVER-5,217.241.252.113,9.144.219.130,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,TEMPE,sasvprc02,PURPLE,SECURITY,01/01/2020
TEST-SERVER-6,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Tony Stark,Database Apps,Linux,1000001,TEST-SERVER-6.els.com,TEST-SERVER-6,198.230.61.47,223.190.41.86,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,GREY,SECURITY,01/01/2020
TEST-SERVER-7,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Clint Barton,Database Apps,Linux,1000001,TEST-SERVER-7.els.com,TEST-SERVER-7,175.236.233.7,214.38.182.186,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,YELLOW,SECURITY,01/01/2020
TEST-SERVER-8,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Nebula,Database Apps,Linux,1000001,TEST-SERVER-8.els.com,TEST-SERVER-8,98.232.16.42,199.55.153.176,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,OXMORE,sasvprc02,ORANGE,SECURITY,01/01/2020
TEST-SERVER-9,OI-AAA0001,Deployed,LOB Ready,TEST,SUPPORT SERVER,Morty,Database Apps,Linux,1000001,TEST-SERVER-9.els.com,TEST-SERVER-9,111.241.137.37,248.20.93.141,OpenSuse Leap 15,1.0.30.7,YES,0,OK,MIDDLEWARE,SILAS,sasvprc02,PURPLE,SECURITY,01/01/2020
